comment,Subject,"Structure, Orient",Locus,Scope,Tone
This belongs earlier in the introduction.,2. Writing Quality,Specific info,,,
This is not the same hypothesis as your introduction,4. Logic and Thinking,Specific info,,,
"This was a solid first effort but you need to work on walking the reader through your thought process in your introduction and discussion. You include relevant citations, but it’s not always clear how you are connecting those citations to the biology of your experiment. Furthermore, you need to explain the overall concept of intraspecies aggression in terms of its relative costs and benefits.B ",12. Narrative Comments,Specific info,,,
Tie your results back to the big picture,4. Logic and Thinking,General info,,,
Tie your results back to the big picture. What does this study tell us about intraspecific behavior?,4. Logic and Thinking,Specific info,,,
"True, but why do we need to understand intraspecific aggression in the first place? What are its costs and benefits?",4. Logic and Thinking,Holistic,,,
You need statistics and description of error bars in your caption. There should not be a title in the body of the figure.,3. Technical and Scientific,Copy Correction,,,
You need to connect the dots for your reader. How does a dominance hierarchy connect to food availability?,4. Logic and Thinking,Holistic,,,
[Merrell: 1968],3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
By specific I meant adding grastrocnemius muscle or rana pipiens,3. Technical and Scientific,Copy Correction,,,
p-value?,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Still need the averages and standard deviations,3. Technical and Scientific,Copy Correction,,,
"The standard errors bars are incorrect, and you need to check your axes labels. ",3. Technical and Scientific,Specific info,,,
What?,8. No basis to judge,No basis to judge,,,
Your discussion improved a little but you still didn’t really flesh out your primary literature and I wanted a little more biological significance/explanation,2. Writing Quality,General info,,,
It would still be better to build these graphs with just 1 series instead of 2. No need for the legend since you have x axis labels ,3. Technical and Scientific,Specific info,,,
No need to re-state the results here ,3. Technical and Scientific,Copy Correction,,,
"This section could be much more concise by just saying something like “xxx was not significantly different than yyy (p = 0.637, Figure 1)” ",3. Technical and Scientific,Copy Correction,,,
"Although you said their names right below this, you would still have to cite it as (Olorunshura, 2011)",3. Technical and Scientific,Specific info,,,
Include a sentence about what you concluded about caffeine based on this,4. Logic and Thinking,Copy Correction,,,
For what statistical test? You also only need to mention the test and the alpha (you can assume your reader understand statistics). ,3. Technical and Scientific,Copy Correction,,,
Support your claims with primary literaturee,4. Logic and Thinking,General info,,,
"Talk about the underlying biology of your experiment, not the name of the field",4. Logic and Thinking,General info,,,
This belongs in methods,2. Writing Quality,Specific info,,,
This is unnecessary information,2. Writing Quality,Copy Correction,,,
This is unnecessary information,2. Writing Quality,Copy Correction,,,
This report needs a lot of work. You don’t use any primary literature in your introduction and never comment on your experimental treatment until your hypothesis. You need to focus on explaining the underlying biology. Your discussion repeats much of your results section and you never support your explanation of feeding behaviors with primary literature. F,12. Narrative Comments,Specific info,,,
"You do not need to provide statistics or specific values in your abstract, although you do need to tie your findings back to the big picture",2. Writing Quality,Specific info,,,
"You don’t need to comment on the trends, only say whether the difference was significant and report the statistical values.",3. Technical and Scientific,Specific info,,,
You don’t need to completely restate your results in the discussion. Focus on explaining the results in the context of the costs and benefits of aggression,2. Writing Quality,Specific info,,,
You need to elaborate on your experimental treatment and its relevance.,4. Logic and Thinking,General info,,,
You need to frame your experiment in terms of the costs and benefits of aggression,4. Logic and Thinking,Specific info,,,
You need to have citation in your introduction. This is an automatic failing grade,1. Basic Criteria,General info,,,
You need to start more broadly,2. Writing Quality,General info,,,
You need to tie your results back to the big picture,4. Logic and Thinking,General info,,,
You should not mention habituation in your intro unless your experiment is about habituation,2. Writing Quality,Specific info,,,
[first author last name: year],3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Alpha?,3. Technical and Scientific,Copy Correction,Corrective,Within Report,
Did they always fight to the death? Would selection really favor the death of closely related individuals?,4. Logic and Thinking,Holistic,,,
Cite figure,3. Technical and Scientific,Copy Correction,,,FLAG
Report means as mean +/- Sd ,3. Technical and Scientific,Copy Correction,,,
These are raw data and should not be included ,3. Technical and Scientific,General info,,,
This is improper citation format,3. Technical and Scientific,Copy Correction,,,
This is unnecessary information,2. Writing Quality,Copy Correction,,,
"This lab report needs a number of revisions. You need to better introduce your experimental treatment. Explain the relevance of turbidity to aggression in terms of its costs. Your methods are in the wrong tense and you can report your results more efficiently. You do a good job of explaining the potential effects of turbidity in the discussion, but you need to do a better job of relating your findings to past studies. Your figure captions need revision and you use improper citation format.C",12. Narrative Comments,Specific info,,,
Tie your results back to the big picture. What did this study teach you about intraspecific aggression as a whole?,4. Logic and Thinking,General info,,,
"True, but at what cost? What is the tradeoff?",4. Logic and Thinking,Holistic,,,
Which cues? Be more specific and relate this study directly to your findings. You need to connect the dots for your reader,4. Logic and Thinking,General info,,,
You need to elaborate on your experimental treatment. How might turbidity affect aggression? Cite some relevant studies.,4. Logic and Thinking,Holistic,,,
You need to have a hypothesis and methods in your abstract,2. Writing Quality,Specific info,,,
"You should express this by saying there was a significant difference between groups ( t = , df = , p =)",3. Technical and Scientific,Copy Correction,,,
You should not have a title in the body of the figure. Your caption needs to have statistics and a description of error bars.,3. Technical and Scientific,Copy Correction,,,
Your methods should be in the past tense,2. Writing Quality,General info,,,
"For your list of Literature Cited, use the one format. Do web links should be used for peer reviewed articles.Include the lab manual",3. Technical and Scientific,General info,,,
Missing in your citation list.,3. Technical and Scientific,Specific info,,,
What groups were compared?,3. Technical and Scientific,Specific info,,,
Did you do this for each fish or each pair of fish? What stats test did you use to analyze the datat?,3. Technical and Scientific,Specific info,,,
"Did you quantify this and do you have the data to back it up? If not, don’t present it as a fact. Present it as an observation. ",3. Technical and Scientific,Specific info,,,
"Here is a good place to talk about how you quantified the aggressive behaviors. You didn’t just observe the behaviors, you used the points system (which you explain well below, so you can work that part in up here instead of at the end of methods).",2. Writing Quality,Holistic,,,
"I’m not sure that this directly follows from the previous sentence, or that it’s a useful citation.In general, you should work on improving this discussion: start with more background information, using more biological statements and citations to build your argument up until you introduce your hypothesis toward the end of the introduction. You shouldn’t include the title of articles in the in-text citation (you may in other fields, but not in scientific writing). I am interesting in hearing more about the murky water environment and why you think the fish will be less aggressive in it. Beyond just not being able to see, can you think of an evolutionary reason why they may be less aggressive than they are in the aquariums? ",4. Logic and Thinking,Holistic,,,
"If this is a t-test, you need to report the results correctly. Annabel, I have written this comment on both of your previous lab reports, so I will copy and paste it again here: “Report results of your t-test as shown in the resource guide. Report means and standard deviations as mean ± sd.”",3. Technical and Scientific,Copy Correction,,,
Report as mean +/- standard deviation,3. Technical and Scientific,Copy Correction,,,
This is raw data – please do not include. A table or figure showing the summarized data is all you need. ,3. Technical and Scientific,Specific info,,,
"This sentence does not quite say what you mean. Try something like, we subjected betta fish to three different experimental treatments. Can you describe the authentic and unauthentic decoys in more detail? ",3. Technical and Scientific,Copy Correction,,,
"Does this author have a first initial? In the text you cite it as 2009, and here the year is 2010. Double check your work. ",3. Technical and Scientific,Copy Correction,,,
"Also, did the same people observe the fish each time to minimize bias? Explain exactly how you tallied the points. ",3. Technical and Scientific,Specific info,,,
"I don’t see a table? Regardless, it will be more useful for you to explain how you assigned points in words. ",3. Technical and Scientific,Specific info,,,
"Okay, good, this is the interpretation of the data that you need before you tell me the errors (what you call possible reasons for insignificance). Interpret what you found, then if you think there was a problem with the experiment, talk about that afterward. ",4. Logic and Thinking,General info,,,
"Right, so since this study helps inform your hypothesis, it would be more useful if you explained it before you introduce your hypothesis and experiment. Providing that context will help support why you predicted what you did. ",4. Logic and Thinking,Specific info,,,
splendens,3. Technical and Scientific,Copy Correction,,,
"This isn’t really relevant to understanding your experiment, you can take it out. ",2. Writing Quality,Copy Correction,,,
To look for significant differences in what? You were looking for significant differences in the number of points each fish (or was it based on pairs of fish) accumulated when expose to each of the treatments. ,4. Logic and Thinking,Specific info,,,
"What does this mean? Summarize this experiment more succinctly, in your own words, and then close with a statement about the relevance or importance of your experiment. You may want to consider what it tells us about evolution, for example. ",4. Logic and Thinking,General info,,,
What is the y-axis label?,3. Technical and Scientific,Specific info,,,
"Which further tests? You don’t mention the Tukey Kramer in the methods section. And, it’s not possible to have significant differences between groups when you have no overall significant difference. So you should make a decision on how you want to interpret the p-value (it’s right on the edge of significant, at p=0.05) and then either say there was or was not a significant difference throughout the entire report. ",3. Technical and Scientific,Specific info,,,
But we don’t have carbs yet!,8. No basis to judge,No basis to judge,,,
But what about too high a concentration of CO2?,8. No basis to judge,No basis to judge,,,
"Can you explain this to me? No really, I’m confused. Come to see me during an OH appointment and we can work this out!",2. Writing Quality,Copy Correction,,,
"I’m a little confused here. The p-values should represent a comparison. So, low CO2 to what? You should have a reference to your figure here, as well as means +/- SDs. Please let me know if you need any help.",3. Technical and Scientific,Specific info,,,
In what cohort?,3. Technical and Scientific,Specific info,,,
"No, just the light-dependent reactions.",3. Technical and Scientific,Copy Correction,,,
Not necessarily—what about climate change?!,4. Logic and Thinking,Specific info,,,
Pretend I’m a high schooler who knows nothing about this. Then write. ,2. Writing Quality,Specific info,,,
"So apparently SAWHET doesn’t translate italics, so please put brackets around this so that I know that you know that it should be italicized.","7. Policy, Administrative",Copy Correction,,,
This needs error bars for each data point!,3. Technical and Scientific,Specific info,,,
Was this (un)paired? Tails? What did you compare? Absorbances? Mean absorbacnes? Percent change?,3. Technical and Scientific,Specific info,,,
Was this supposed to be a table? Please write these out!,3. Technical and Scientific,Copy Correction,,,
We’re not really fixing carbon at this point.,3. Technical and Scientific,Specific info,,,
Why is this experiment important?,4. Logic and Thinking,General info,,,
"You have to introduce NADP+ first before why you used DCPIP can make sense. Also, explain how DCPIP affects your results.",2. Writing Quality,Specific info,,,
You need at the very least a couple of primary literature sources here. ,3. Technical and Scientific,General info,,,
Your figure caption should explain what I’m supposed to get out of looking at this figure.,3. Technical and Scientific,General info,,,
Your explanation of plant allocation was not specific enough and you provided a lot of extraneous information. ,2. Writing Quality,General info,Corrective,Specific Location,
"Although this was a bit improved, you still missed the mark in your introduction.",5. Praise or Concern,General info,Directive,Within Report,
Your reported raw data and your tone was not scientific enough throughout the lab report.C,12. Narrative Comments,General info,Corrective,Within Report,
Your tone was not scientific enough throughout the lab report.C,2. Writing Quality,General info,Directive,Within Report,
How do plants phenotypically respond to heterogenous nutrient availability ,4. Logic and Thinking,Holistic,,,
How specifically do plants respond to various environmental conditions? You need to provide specific examples and cite supporting literature,4. Logic and Thinking,General info,,,
Not supported,3. Technical and Scientific,Copy Correction,,,
Start more broadly,2. Writing Quality,General info,,,
These are raw data,3. Technical and Scientific,General info,,,
This is all unnecessary information,2. Writing Quality,Copy Correction,,,
This is not scientific language,2. Writing Quality,Copy Correction,,,
This should have been your first sentence,2. Writing Quality,Specific info,,,
What about statistics? How did you calculate R:S,3. Technical and Scientific,Specific info,,,
You did a much better job of providing specific examples in your discussion. ,5. Praise or Concern,General info,,,
"You included raw data. In the future, provide a figure instead of tables.",3. Technical and Scientific,General info,,,
"Okay, and WHY did they find that it had no result – was it because the water clarity didn’t affect fish vision, or because they use smell to detect their opponent, or something else? ",4. Logic and Thinking,Holistic,,,
"Okay, I buy this can you zoom out now to think more about what this can teach us about the power (or rate) of evolution in these fish? Since I know they’ve been artificially selected to be aggressive in clear water, I would have predicted a significant difference, which you did not find here. Can you elaborate? ",4. Logic and Thinking,Specific info,,,
"Specify that this was in clear water. You may want to rephrase the next part – how did you collect data if you couldn’t see through the tank?What exactly did you analyze, was it the number of aggressive behaviors for each individual fish or the total number of behaviors for each interaction? ",3. Technical and Scientific,Holistic,,,
"Technically, two (one above the mean, one below)",3. Technical and Scientific,Specific info,,,
"Both your control and treatment should exhibit growth, but treatment group should exhibit significantly higher growth.",4. Logic and Thinking,Specific info,,,
"incomplete? Since your entire Abstract didn’t come through, I can’t tell for sure if you have incorporated future implication highlights here as well.",8. No basis to judge,No basis to judge,,,
plates,3. Technical and Scientific,Copy Correction,,,
Redundance. You can actually get rid of these lines.,2. Writing Quality,General info,,,
Deduce?,8. No basis to judge,No basis to judge,,,
Force transducer,3. Technical and Scientific,Copy Correction,,,
Good abstract!,5. Praise or Concern,General info,,,
Good results section,5. Praise or Concern,General info,,,
Remember to put the figure title immediately after the figure number before continuing with the rest of the caption,3. Technical and Scientific,Copy Correction,,,
These two sentence can go. Just start with talking about the frog. ,2. Writing Quality,Copy Correction,,,
This sentence is unnecessary,2. Writing Quality,Copy Correction,,,
Be careful here—it almost sounds as if you’re calling Physarum a multicellular organism too.,2. Writing Quality,Holistic,,,
Citation!,3. Technical and Scientific,Copy Correction,Corrective,Within Report,FLAG
"I asked you to trim this down and make it more succinct, but it’s longer than the submission.",2. Writing Quality,General info,,,
"I missed this in your submission somehow, so am not taking off for it, but this reads a causative. It also borderlines interpretation, so make sure that in the future you report only results in the results section.",1. Basic Criteria,Specific info,,,
"Something to think about—I’d organize this a bit differently. So, you discuss 4 ways in which cells receive signals—why not connect this to which of the 4 ways Physarum can receive signals?",2. Writing Quality,General info,,,
This seems like a stretch.,4. Logic and Thinking,General info,,,
Why did you copy/paste information from earlier in your intro? Sily.,11. FLAG,,,,
Write things out.,2. Writing Quality,General info,,,
Good job!,5. Praise or Concern,General info,,,
"Grade: 3Very good report, however you need to make a figure that displays your data well.  The table lacks details that are important.",12. Narrative Comments,General info,,,
Great discussion.,5. Praise or Concern,General info,,,
Scientific name is Rana pipiens,Scientific Name,Copy Correction,,,
This table doesn’t represent your data well.  These means do not have +/- error but they also do not explain that there were three legs.Try using a (maybe multiple) bar graph to represent the data.  Include error bars.,3. Technical and Scientific,Specific info,,,
2% water-agar medium,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
20x. ,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
I would explain how you made this 20x solution.,3. Technical and Scientific,Specific info,Directive,Specific Location,
An inverted,3. Technical and Scientific,Copy Correction,Corrective,Within Report,
capitalize P,2. Writing Quality,Copy Correction,,,
Have you looked up for a possible activator? Suggesting a specific activator that targets IP3 would significantly improve your current experimental model,4. Logic and Thinking,Specific info,,,
known,2. Writing Quality,Pointer,,,
Revise ,2. Writing Quality,General info,,,
This part needs citation,3. Technical and Scientific,Specific info,,,
Great figure and caption,5. Praise or Concern,General info,,,
"I think this intro could have benefited from a citation of previous work involving restricted wavelength, but this was a very solid introduction overall",4. Logic and Thinking,Specific info,,,
Length or mass?,3. Technical and Scientific,Copy Correction,,,
Really great discussion.,5. Praise or Concern,General info,,Within Report,Positive
This is infinity times better than your first submission. The introduction was the only area that really needed to be improved; you needed to elaborate on partial light spectrum effects and never introduced the mass component of your hypothesis. Your discussion was amazing and a complete 180 from your last submission. Keep up the great work.B,12. Narrative Comments,Specific info,,,
Why would mass show the opposite relationship? You need to develop all aspects of the hypothesis in the intro.,4. Logic and Thinking,Holistic,,,
Display this as a graph as it’s much easier to visualize the change than a table.,3. Technical and Scientific,Specific info,,,
Add error bars to those pH 10 points too!,3. Technical and Scientific,Copy Correction,Corrective,Within Report,
"Again, give more of a biological basis for why you’d see this affect with alkaline pH.",4. Logic and Thinking,Specific info,,,
At what wavelength?,3. Technical and Scientific,Copy Correction,,,
"For what condition? I wouldn’t list all of these; rather, what really matters in mean percent change +/- SD over the whole 30 minutes.",3. Technical and Scientific,Specific info,,,
Good abstract!,5. Praise or Concern,General info,,,
"Have trouble finding a source, lol?",11. FLAG,,,,
"I want more.  Connect that (more) biological background to why an alkaline pH specifically could disrupt photosynthesis, because I don’t think your hypothesis is quite supported yet. Otherwise, good intro!",4. Logic and Thinking,Specific info,,,
"Make the connection between DCPIP color, reduction in absorbance, and increase in photosynthetic activity explicit here.",4. Logic and Thinking,Specific info,,,
Maybe explain the transfer of electrons in the light-dependent reactions first?,2. Writing Quality,Specific info,,,
Meh. Air bubbles aren’t an end-all-be-all.,8. No basis to judge,No basis to judge,,,
"So, apparently SAWHET doesn’t translate italics, so please put brackets around this so that I know that you know that species names should be italicized.","7. Policy, Administrative",Copy Correction,,,
"What kind? Let me know what you’re thinking in lab, and I’ll help!",3. Technical and Scientific,Specific info,,,
What stats did you run?!,3. Technical and Scientific,Specific info,,,
Why’d you want these pellets?,3. Technical and Scientific,Specific info,,,
Your figure caption should relay what you wanted me to get out of looking at this figure.,3. Technical and Scientific,General info,,,
?,2. Writing Quality,Pointer,Neutral,Within Report,Neutral
After 30 min? ,2. Writing Quality,Copy Correction,,,
Also mention about the Tukey-Kramer test.,3. Technical and Scientific,Copy Correction,Directive,Within Report,
Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.,2. Writing Quality,General info,,,
Can you revise your hypothesis by incorporating pH 6 factor as well? ,4. Logic and Thinking,Specific info,,,
Figure number?,3. Technical and Scientific,Copy Correction,,,
Include a reagent table with your assay in the supplement and refer to it instead.,3. Technical and Scientific,Copy Correction,,,
Include ANOVA p values in parenthesis ,3. Technical and Scientific,Copy Correction,,,
Include sufficient stat results to justify your statements. Provide Tukey-Kramer test data table as a supplement. Refer to both one-way ANOVA and Tukey-Kramer test results to justify your statements here.,3. Technical and Scientific,Specific info,,,
Informal. Revise to make it formal. Use your best judgement to locate any other informal/colloquial terms/texts/formats used elsewhere in the report and revise accordingly.,2. Writing Quality,Holistic,,,
Introduce your plant species with scientific and common names in the introduction. Then use the common name throughout the report including title and abstract.,Scientific Name,Copy Correction,,,
No chloroplast is not your control. Chloroplast under full light with no herbicide and no pH manipulation is your control.,3. Technical and Scientific,Specific info,,,
Others could be a better alternative,8. No basis to judge,No basis to judge,,,
pH,3. Technical and Scientific,Copy Correction,,,
Redundancy. You already mentioned in methods section. ,2. Writing Quality,Copy Correction,,,
"Also, is there any significance result for this? Either in ANOVA or Tukey? Include that instead.",3. Technical and Scientific,Copy Correction,,,
Refer to figure. ,3. Technical and Scientific,Copy Correction,,,
Refer to treatment name,3. Technical and Scientific,Copy Correction,,,
This section should be in past tense.,2. Writing Quality,General info,,,
"Use your previous experiment data for control. You can state here that you didn’t use the current control data because it showed faulty results. And go ahead with stating possible reasons. But for data analysis, use the control data from previous week.",3. Technical and Scientific,Specific info,,,
Was that significant?,3. Technical and Scientific,Copy Correction,,,
"Again, why?",4. Logic and Thinking,No basis to judge,,,
I told you to ask me about this! Paired isn’t appropriate here.,3. Technical and Scientific,Specific info,,,
"Really good intro, Anissa!",5. Praise or Concern,General info,,Within Report,Positive
"This is good, but I’d put means AND SDs before the p-values comparing them.",3. Technical and Scientific,Copy Correction,,,
Does the venom block potassium channels? I’m confused about how this is related?,4. Logic and Thinking,Specific info,,,
Refer to by specific figure numbers. Never reference by position in a report. ,3. Technical and Scientific,General info,,,
"This goes in the figure caption (legend), not here. ",3. Technical and Scientific,Specific info,,,
This is a stretch. You need more relevant primary literature (or need to explain it better). ,4. Logic and Thinking,Specific info,,,
"This is good. However, you should consider introducing an example from primary literature relating to tetany specifically, since this is what you measured. ",4. Logic and Thinking,Specific info,,,
This title needs to be more specific. Ask your lab mates or see me for suggestions. ,2. Writing Quality,General info,,,
"You need some sort of citation for at least some of this. It can’t all be considered common knowledge. You can cite the lab manual and/or lecture, if you didn’t find this info in any of your other sources. ",1. Basic Criteria,General info,,,
"Your figures need an x-axis label (“Frog treatment” for example), and you need to explain what the error bars represent here in the caption/legend. ",3. Technical and Scientific,Specific info,,,
Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.,2. Writing Quality,General info,,,
I would suggest to remove this segment and open your introduction by stating how measuring salinity is important in studying plant growth. Keep your introduction very concise and to-the-point.,2. Writing Quality,Specific info,,,
"IMPORTANT: your null hypothesis is that varying salt concentration would not significantly affect the photosynthesis, which you found in your experiment. So, you accept the null hypothesis. Your alternative hypothesis is that varying salt concentration would have significant effect on photosynthesis. So, in this case, you reject the alternative hypothesis. This is a major mistake. Please let me know if you have any confusion about it.",3. Technical and Scientific,Specific info,,,
Mention their names,2. Writing Quality,Copy Correction,,,
Methods section could be more concise. Some of the details could have been summarized in a better way.,2. Writing Quality,General info,,,
Scientific papers usually do not use direct quotes. Paraphrase for all the direct quotes you used.,2. Writing Quality,General info,Directive,Within Report,Neutral
This is too much detail focusing on the methods. This statement should rather go in the methods section. I suggest to remove it and revise the previous line to convey the message.,2. Writing Quality,Specific info,,,
"Use passive form. Do not use “I”, “We”, or “Our”",2. Writing Quality,General info,,,
Use proper citation,3. Technical and Scientific,Copy Correction,,,
You could just write grinding buffer instead. Mention that you are using Hill Reaction Assay. That should automatically indicate what type of grinding buffer to use.,3. Technical and Scientific,Specific info,,,
"Also, try pasting your original figures with captions rather than pasting an image.",3. Technical and Scientific,General info,,,
"Missing detail = title, ",3. Technical and Scientific,Copy Correction,,,
Missing detail = volume,3. Technical and Scientific,Copy Correction,,,
When was this source published?,3. Technical and Scientific,Copy Correction,,,
Give me the results of the test you ran. (I’m not familiar with Grubb’s.),3. Technical and Scientific,Specific info,,,
Huh? Why?,8. No basis to judge,No basis to judge,,,
"I didn’t catch this the first time, (so you got lucky!) but always, always reference your figure in here somewhere.",2. Writing Quality,General info,,,
I need way less quotes and more of this report in your own words.,2. Writing Quality,General info,Explanatory,Within Report,Neutral
"If you SD was 0, why do you have an error bar at all? Also, something I didn’t bother harping on (so this won’t affect your grade), figures should have no titles—only tables.",3. Technical and Scientific,Copy Correction,,,
"Other than copious quotes, good intro!",5. Praise or Concern,General info,Corrective,Within Report,Neutral
This is repetitive.,2. Writing Quality,Copy Correction,,,
You said no SD in your results. You also said a totally different distance in your results.,3. Technical and Scientific,Specific info,,,
"Grade: 3 Good job, be sure to correct the stats and use Rana pipiens.",12. Narrative Comments,General info,,,
"Other graph shows this, choose one to show not both.  (show bar graph)",3. Technical and Scientific,Specific info,,,
Rana pipiens,Scientific Name,Copy Correction,Corrective,Within Report,Neutral
This is small but a good sort of thing to include. Good job.,5. Praise or Concern,General info,,,
You should only run one paired t-test on both leg’s data.  ,3. Technical and Scientific,Specific info,,,
Briefly mention what was the result. What did you get that is supporting the hypothesis,4. Logic and Thinking,General info,,,
"Consider changing your axesy-axis: Average amplitude of contraction (V)x-axis: Why injection type, if you didn’t do different injections? What is your independent variable? That should be the x-axis",3. Technical and Scientific,Specific info,,,
"Consider the order, probably is better to mention the hypothesis before the methods",2. Writing Quality,Specific info,,,
It sounds weird,8. No basis to judge,No basis to judge,,,
Missing the year,3. Technical and Scientific,Copy Correction,,,
Rewrite this one,8. No basis to judge,No basis to judge,,,
"Rewrite this please, to make it more clear",2. Writing Quality,General info,,,
Rewrite this result but avoid repeating the same words.,2. Writing Quality,Copy Correction,Corrective,Within Report,
Same problem with x-axis,3. Technical and Scientific,Specific info,,,
You already mentioned that that you did the same in each leg,3. Technical and Scientific,Copy Correction,,,
You don’t need many details about the methods in this section. In the Abstract just summarize the most important things of the methods and that’s it. ,2. Writing Quality,Specific info,,,
640 mn and 470 nm,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.,2. Writing Quality,General info,,,
Better choice of words would be “do not significantly change” or something similar.,2. Writing Quality,Specific info,,,
could be,2. Writing Quality,Copy Correction,,,
"For all the results that were not significant, pick the ones that caught your attention and only include those.",3. Technical and Scientific,Specific info,,,
I would rather focus on improving the procedure to isolate the chloroplast rather than doing 30 replicate per treatment,3. Technical and Scientific,Specific info,,,
Informal. Revise to make it formal. Locate other informal/colloquial terms and revise.,2. Writing Quality,General info,,,
"Instead of thinking that three replicates were too small, think about the procedure of isolating the chloroplast. Maybe there weren’t enough chloroplast in the samples because they weren’t isolated properly. You mentioned about it in later sentences. Three replicates is a standard sample size so I wouldn’t say that it is too small.",4. Logic and Thinking,Specific info,,,
"Italicize or underline the scientific names. Since you already introduced your species names with sci and common names, you can use their common names throughout the rest of your report.",Scientific Name,Copy Correction,,,
No “significant” difference,3. Technical and Scientific,Copy Correction,,,
remove,2. Writing Quality,Copy Correction,,,
Revise to make formal,2. Writing Quality,Specific info,,,
This should go in Methods section. Error: Basic Criteria #2,2. Writing Quality,Specific info,,,
Try to fix the x-axis label since your have –ve values,3. Technical and Scientific,Specific info,,,
"Try to summarize your methods in a better way without putting too much detail. For example, all the procedure to isolate 200 ul into microtubes with labels A, B, B pellet, and C can be condensed in a single line stating that the sample containing the pellet after second centrifuge was used. Because if you followed the protocol properly to isolate the chloroplast, you should have the highest chloroplast in your B pellet sample.At the end of your Methods section, indicate what kind of statistical test you perform to analyze your data. Just state a straight forward sentence stating that the statistical test x was conducted to analyze the data of the control and treatment groups.",3. Technical and Scientific,Specific info,,,
"Use correct format for scientific names, i.e., either italicize or underline. You can use common names in your title. In your introduction, introduce your species with both scientific and common names. Then use the common names throughout the rest of the sections of your paper.",Scientific Name,Copy Correction,,,
Was that significant? Your data shows Chickweed exposed to 640 nm at 30 min was sig (p=0.0013) but at 20 min was not (p=0.0832).,3. Technical and Scientific,Specific info,,,
Your p value is higher than 0.05,3. Technical and Scientific,Copy Correction,,,
Can you think of a more descriptive title?,2. Writing Quality,General info,,,
Error bars represent?,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
How long was each trial? What was the purpose of doing them with and without the glass partition? What was scored in the trials without the partitions? Which values do you use in your analysis? What statistical test did you use to analyze your data? ,3. Technical and Scientific,Specific info,,,
"I’m confused, you didn’t see any significant increase or decrease of aggressive behavior, why do you refer to a decreased propensity here?",3. Technical and Scientific,Specific info,,,
"This (and the fact that you only talk about Bettas in the rest of the intro) makes it seem as though you are most interested in the interactions between the betta fish and the interspecies interaction is an afterthought. But, testing the betta responses to another species is the core goal of your experiment and you only included the intraspecific interactions as a control. So, there’s a mismatch here that is a bit confusing. Rework the introduction to better present the goal of your experiment and set up your hypothesis. I am particularly wondering why you thought the bettas would be more aggressive toward the tetra fish, that’s the opposite of what I would have predicted, which is another reason why having more background on interspecific interactions would be very helpful here. ",4. Logic and Thinking,Holistic,,,
"This is raw data, you don’t need to include it. ",3. Technical and Scientific,General info,,,
Why? I don’t see the relevance of this to your experiment. ,8. No basis to judge,No basis to judge,,,
Be specific. What was the effect?,3. Technical and Scientific,Specific info,,,
Citation?,3. Technical and Scientific,Specific info,Corrective,Within Report,FLAG
good,5. Praise or Concern,No basis to judge,Neutral,Within Report,Positive
"I like how you framed this, but I still think you need to elaborate on the specific costs and benefits of aggression.",4. Logic and Thinking,Specific info,,,
Is predator prey behavior relevant to intraspecific aggression?,4. Logic and Thinking,Holistic,,,
Need sds and stats,3. Technical and Scientific,Copy Correction,,,
"Remember, no quotes! You don’t need to wink at your reader to make your point.",2. Writing Quality,General info,Explanatory,Within Report,Neutral
This belongs much earlier in the paragraph,2. Writing Quality,Specific info,,,
Why was the aggressive behavior never observed in the presence of another betta?,4. Logic and Thinking,Holistic,,,
"Your writing was very good, but you need to work on the content in this lab report. You need to better relate anti-predator behavior and intraspecific aggression in your introduction. Your results need to have statistics. I really liked your discussion, but you have to bring the rest of your report up to its standard.B",12. Narrative Comments,Specific info,,,
Also make sure you have a colon : between the author and year,3. Technical and Scientific,Copy Correction,Corrective,Within Report,
Also mention briefly what you will actually be doing in the experiment,3. Technical and Scientific,Specific info,,,
"Hi Robert, So the main issue here is with your results section, as there’s a lot going on and I’m not positive all of it is useful. Having one t-test and one simple graph would probably be better, and if you need help with any of that let me know. Also, be sure to actually include your hypothesis somewhere. You mention it in your discussion but you need to actually state it in the introduction. I’m giving you a C, but with a stern warning to change these things for the revision. ",12. Narrative Comments,Specific info,,,
How much did you inject?,3. Technical and Scientific,Copy Correction,,,
I believe the units should also be volts? Unless your machine had a weird setting on ,3. Technical and Scientific,Copy Correction,,,
I would add the p-value in for thoroughness,3. Technical and Scientific,Copy Correction,,,
Mention what Ach normally does in muscle contraction ,2. Writing Quality,Specific info,,,
"Once again, you can’t do a t-test over a range of voltages",3. Technical and Scientific,Specific info,,,
See my comments on your figures,8. No basis to judge,No basis to judge,,,
